model,params,params_M,model_mem_MB,activation_MB,macs_M,flops_M,latency_ms_best,latency_ms_avg,latency_ms_worst,baw_identical,baw_note,meas_lat_min_ms,meas_lat_max_ms,batch1_latency_ms,throughput_sps,device
dlinear_a23,528,0.000528,0.002112,0.006144,0.016384,0.03328,0.0018694531263463432,0.0018694531263463432,0.0018694531263463432,True,"standalone forecaster: no routing, B=A=W by construction",0.0014679685591545422,0.0037285158214217518,0.09826500318013132,534915.7921677334,cpu
nhits_a23,293760,0.29376,1.17504,0.013312,0.290816,0.584576,0.002850820305866364,0.002850820305866364,0.002850820305866364,True,"standalone forecaster: no routing, B=A=W by construction",0.002608984232210787,0.0038171874621184543,0.21967499633319676,350776.2302458064,cpu
patchtst_i23,71560,0.07156,0.28624,1.09056,7.626752,15.411456,0.09100798829422274,0.09100798829422274,0.09100798829422274,True,"standalone forecaster: no routing, B=A=W by construction",0.0812515622783394,0.11793515659519471,0.5512300063855946,10988.046420354518,cpu
itransformer_i24,69576,0.069576,0.278304,0.156672,1.138688,2.30016,0.0077236328024810055,0.0077236328024810055,0.0077236328024810055,True,"standalone forecaster: no routing, B=A=W by construction",0.006341015705402242,0.012420312486938201,0.30297499615699053,129472.7527283246,cpu
timesnet_i23,600640,0.60064,2.40256,0.06656,5.310464,10.633472,0.008816699255476124,0.008816699255476124,0.008816699255476124,True,"standalone forecaster: no routing, B=A=W by construction",0.007828515663277358,0.012829687875637319,0.3910799976438284,113421.13085902209,cpu
scinet_n22,311936,0.311936,1.247744,0.050176,1.048576,2.103552,0.0066063281337847,0.0066063281337847,0.0066063281337847,True,"standalone forecaster: no routing, B=A=W by construction",0.005529687769012526,0.009564843821863178,0.24945500190369785,151370.01670958629,cpu
informer_a21,595392,0.595392,2.381568,0.205824,2.695168,5.429504,0.018622695301928616,0.018622695301928616,0.018622695301928616,True,"standalone forecaster: no routing, B=A=W by construction",0.01525078096165089,0.023272656108019873,0.4496749956160784,53697.91986536113,cpu
autoformer_n21,531208,0.531208,2.124832,0.03072,0.731136,1.468928,0.04511646482114884,0.04511646482114884,0.04511646482114884,True,"standalone forecaster: no routing, B=A=W by construction",0.04325156260165386,0.04932656247547129,0.279044994385913,22164.857197127712,cpu
fedformer_i22,592584,0.592584,2.370336,0.022528,0.600064,1.204736,0.004681933614847367,0.004681933614847367,0.004681933614847367,True,"standalone forecaster: no routing, B=A=W by construction",0.003811328042502282,0.007162109795899596,0.23712499532848597,213586.96689521524,cpu
crossformer_i23,37960,0.03796,0.15184,0.197632,0.229376,0.50816,0.08454626952243416,0.08454626952243416,0.08454626952243416,True,"standalone forecaster: no routing, B=A=W by construction",0.07659023412998067,0.12472617208914016,0.31342499423772097,11827.842974605193,cpu
